"filename", "language", "GDResource", "GDScript", "gdshader", "GDScene", "Markdown", "JSON", "XML", "Shell Script", "Properties", "C#", "comment", "blank", "total"
"d:\Programming\Godot\Astra\.godot\editor\0.tres-folding-1953a3eef18b27500aa655ca14fa7062.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\0.tres-folding-917dc14810621d7e5696cd05d00b34ee.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\004001.tres-folding-359b3267a72ad81ea6282ace778be177.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\1.tres-folding-9d1df11f08beac2590d5ad73d4dad4a6.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\1.tres-folding-e97f06245f149d9a59e7e545e060843b.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\2.tres-folding-29399adfb8dcffb18d7c922e2717b8ef.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\2.tres-folding-941873f7557abbd59368bbf14c6740f3.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\3.tres-folding-539f743074fc038c45864d8b9c365881.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\3.tres-folding-af315ef2884b8fe52820f07c725e04ce.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\4.tres-folding-94a6387af7382a1626f9c325667dc6e9.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\4.tres-folding-970d60227aa4915646e6c780be13f249.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\4001.tres-folding-4ece428447b983528b8c2634378e0bb1.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\4001.tres-folding-a5ce70cc93dd73af40ced81654e936c3.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\5.tres-folding-3d3371aabefbd015ad54385f993030c7.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\5.tres-folding-5ff2a3dfc28f4ff53f2358e87e33d9b7.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\5.tres-folding-ef14e996c1a4c69822094a196c73694e.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\5001.tres-folding-4d9edee4abaa27cc5b53dbc0f7269c09.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\5001.tres-folding-8650700d58cd337f9c9875a5566af334.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\5001.tres-folding-ffa04fa7d184a14d3f8b61227d9af49d.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\6.tres-folding-982c2081f9ddd5789b9419dba38f0dc0.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\6.tres-folding-c9e963371d612d73a268e0ac707648d2.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\7.tres-folding-784883ed2376644ea40226190e4e0d99.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\7.tres-folding-8c3ae2181e9aa12b2483a6632362e446.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\BackgroundMenuScroll.gdshader-folding-636892d1b6fa7d84ff4560d448d0399d.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\BackgroundShader.gdshader-folding-fa55d94ddbaa4cb59c7570f6be7ac53c.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Bear.tres-folding-d0510586fb9684b00f911ab2373b9ee8.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Bonbons.tres-folding-77b71f6d85c3333714c8a4276bd1f67b.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Builder.tscn-editstate-f216d4757f564bc1c05d5953daf0e357.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Builder.tscn-folding-f216d4757f564bc1c05d5953daf0e357.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\ButtonIndicator.gd-folding-4a9977aefd986cddceb95d9dce7c9ba8.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\ButtonIndicator.tscn-editstate-0b72ef3b94017dad8c82216d16e81f37.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
